"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.00000000000E+007, -7.31505679190E-001, +0.00000000000E+000
+5.12500000000E+007, -7.14236692579E-001, +0.00000000000E+000
+5.25000000000E+007, -6.53019265646E-001, +0.00000000000E+000
+5.37500000000E+007, -6.04091180624E-001, +0.00000000000E+000
+5.50000000000E+007, -5.86490375134E-001, +0.00000000000E+000
+5.62500000000E+007, -5.49294357822E-001, +0.00000000000E+000
+5.75000000000E+007, -5.28257989839E-001, +0.00000000000E+000
+5.87500000000E+007, -4.94883931554E-001, +0.00000000000E+000
+6.00000000000E+007, -4.72419385040E-001, +0.00000000000E+000
+6.12500000000E+007, -4.49414065368E-001, +0.00000000000E+000
+6.25000000000E+007, -4.60350043728E-001, +0.00000000000E+000
+6.37500000000E+007, -4.93025084810E-001, +0.00000000000E+000
+6.50000000000E+007, -4.91020932224E-001, +0.00000000000E+000
+6.62500000000E+007, -4.56988435592E-001, +0.00000000000E+000
+6.75000000000E+007, -4.32094800946E-001, +0.00000000000E+000
+6.87500000000E+007, -4.07265192597E-001, +0.00000000000E+000
+7.00000000000E+007, -3.95793548317E-001, +0.00000000000E+000
+7.12500000000E+007, -3.69724752840E-001, +0.00000000000E+000
+7.25000000000E+007, -3.66349361769E-001, +0.00000000000E+000
+7.37500000000E+007, -3.54670605396E-001, +0.00000000000E+000
+7.50000000000E+007, -3.60971003424E-001, +0.00000000000E+000
+7.62500000000E+007, -3.74355223936E-001, +0.00000000000E+000
+7.75000000000E+007, -3.99687961528E-001, +0.00000000000E+000
+7.87500000000E+007, -4.04569765951E-001, +0.00000000000E+000
+8.00000000000E+007, -4.58851792885E-001, +0.00000000000E+000
+8.12500000000E+007, -4.83212892260E-001, +0.00000000000E+000
+8.25000000000E+007, -5.08336622792E-001, +0.00000000000E+000
+8.37500000000E+007, -5.50892847212E-001, +0.00000000000E+000
+8.50000000000E+007, -5.85115583736E-001, +0.00000000000E+000
+8.62500000000E+007, -6.38463157104E-001, +0.00000000000E+000
+8.75000000000E+007, -7.44951959575E-001, +0.00000000000E+000
+8.87500000000E+007, -8.54696089678E-001, +0.00000000000E+000
+9.00000000000E+007, -1.01288250662E+000, +0.00000000000E+000
+9.12500000000E+007, -1.19633911648E+000, +0.00000000000E+000
+9.25000000000E+007, -1.40691116246E+000, +0.00000000000E+000
+9.37500000000E+007, -1.52728174889E+000, +0.00000000000E+000
+9.50000000000E+007, -1.65319244669E+000, +0.00000000000E+000
+9.62500000000E+007, -1.79801046347E+000, +0.00000000000E+000
+9.75000000000E+007, -1.95828299487E+000, +0.00000000000E+000
+9.87500000000E+007, -2.18617288685E+000, +0.00000000000E+000
+1.00000000000E+008, -2.48051269080E+000, +0.00000000000E+000
+1.01250000000E+008, -2.68257502000E+000, +0.00000000000E+000
+1.02500000000E+008, -3.11074898132E+000, +0.00000000000E+000
+1.03750000000E+008, -3.50484677294E+000, +0.00000000000E+000
+1.05000000000E+008, -3.82666235221E+000, +0.00000000000E+000
+1.06250000000E+008, -4.00961671685E+000, +0.00000000000E+000
+1.07500000000E+008, -4.29280905054E+000, +0.00000000000E+000
